LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
|('exit_donald', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,100,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,500,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,1000,True,0.0,0.22222222222222221,1
|('entry_minny', 'entry_micky')|,1000,True,2.0,0.3611111111111111,2
|('entry_minny', 'entry_micky')|,1000,True,3.0,0.41111111111111109,2
|('entry_minny', 'entry_micky')|,1000,True,6.0,0.40000000000000002,1
|('entry_minny', 'entry_micky')|,1000,True,9.0,1.0,1
|('entry_minny', 'entry_micky')|,1000,True,12.0,0.49206349206349209,2
|('entry_minny', 'entry_micky')|,1000,True,14.0,0.65555555555555556,5
|('entry_minny', 'entry_micky')|,1000,True,15.0,0.57142857142857151,1
|('entry_minny', 'entry_micky')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,100,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,500,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,1000,True,0.0,0.42916666666666664,4
|('exit_goofy', 'exit_donald')|,1000,True,1.0,0.47908163265306125,7
|('exit_goofy', 'exit_donald')|,1000,True,2.0,1.0,1
|('exit_goofy', 'exit_donald')|,1000,True,3.0,0.3928571428571429,2
|('exit_goofy', 'exit_donald')|,1000,True,4.0,0.62955747955747954,9
|('exit_goofy', 'exit_donald')|,1000,True,5.0,0.32500000000000001,2
|('exit_goofy', 'exit_donald')|,1000,True,6.0,0.27443181818181817,4
|('exit_goofy', 'exit_donald')|,1000,True,7.0,0.54166666666666674,4
|('exit_goofy', 'exit_donald')|,1000,True,8.0,0.40000000000000002,2
|('exit_goofy', 'exit_donald')|,1000,True,9.0,0.25227272727272726,3
|('exit_goofy', 'exit_donald')|,1000,True,10.0,0.41249999999999998,2
|('exit_goofy', 'exit_donald')|,1000,True,11.0,0.41000000000000003,5
|('exit_goofy', 'exit_donald')|,1000,True,12.0,0.32000000000000001,5
|('exit_goofy', 'exit_donald')|,1000,True,13.0,0.1818181818181818,1
|('exit_goofy', 'exit_donald')|,1000,True,14.0,0.5357142857142857,2
|('exit_goofy', 'exit_donald')|,1000,True,15.0,0.42619047619047618,3
|('exit_goofy', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('exit_goofy', 'exit_donald')|,5000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,100,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,500,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,1000,True,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,2000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,3000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,4000,False,0.0,0.0,0.0
|('exit_daisy', 'entry_micky')|,5000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,100,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,500,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,1000,True,1.0,0.55714285714285716,4
|('exit_donald', 'exit_goofy')|,1000,True,2.0,0.64166666666666661,4
|('exit_donald', 'exit_goofy')|,1000,True,3.0,0.3928571428571429,2
|('exit_donald', 'exit_goofy')|,1000,True,4.0,0.65000000000000002,2
|('exit_donald', 'exit_goofy')|,1000,True,5.0,0.34960317460317458,4
|('exit_donald', 'exit_goofy')|,1000,True,6.0,0.29365079365079361,2
|('exit_donald', 'exit_goofy')|,1000,True,7.0,0.61071428571428577,4
|('exit_donald', 'exit_goofy')|,1000,True,8.0,0.29999999999999999,1
|('exit_donald', 'exit_goofy')|,1000,True,9.0,0.34999999999999998,2
|('exit_donald', 'exit_goofy')|,1000,True,10.0,0.23333333333333334,3
|('exit_donald', 'exit_goofy')|,1000,True,11.0,0.375,1
|('exit_donald', 'exit_goofy')|,1000,True,12.0,0.60000000000000009,2
|('exit_donald', 'exit_goofy')|,1000,True,13.0,0.34523809523809523,2
|('exit_donald', 'exit_goofy')|,1000,True,14.0,0.37777777777777777,3
|('exit_donald', 'exit_goofy')|,1000,True,15.0,0.51833333333333331,5
|('exit_donald', 'exit_goofy')|,2000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,3000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,4000,False,0.0,0.0,0.0
|('exit_donald', 'exit_goofy')|,5000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,100,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,500,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,1000,True,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('entry_minny', 'exit_donald')|,5000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,100,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,500,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,1000,True,1.0,0.17647058823529413,1
|('exit_daisy', 'exit_donald')|,1000,True,2.0,0.17647058823529413,1
|('exit_daisy', 'exit_donald')|,1000,True,5.0,0.65000000000000002,2
|('exit_daisy', 'exit_donald')|,1000,True,6.0,0.28501400560224094,3
|('exit_daisy', 'exit_donald')|,1000,True,8.0,0.55555555555555547,1
|('exit_daisy', 'exit_donald')|,1000,True,10.0,0.17647058823529413,1
|('exit_daisy', 'exit_donald')|,1000,True,11.0,0.36928104575163401,2
|('exit_daisy', 'exit_donald')|,1000,True,12.0,0.59047619047619049,3
|('exit_daisy', 'exit_donald')|,1000,True,13.0,1.0,1
|('exit_daisy', 'exit_donald')|,1000,True,14.0,0.25,1
|('exit_daisy', 'exit_donald')|,1000,True,15.0,1.0,2
|('exit_daisy', 'exit_donald')|,2000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,3000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,4000,False,0.0,0.0,0.0
|('exit_daisy', 'exit_donald')|,5000,False,0.0,0.0,0.0
