PROB,LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
0.01,|('exit_goofy', 'exit_daisy')|,1000,False,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,2000,False,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,3000,False,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,4000,False,0.0,0.0,0.0
0.01,|('exit_goofy', 'exit_daisy')|,5000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_donald')|,100,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_donald')|,500,True,4.0,1.0,1
0.01,|('entry_minny', 'exit_donald')|,1000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_donald')|,2000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_donald')|,3000,True,12.0,1.0,1
0.01,|('entry_minny', 'exit_donald')|,4000,False,0.0,0.0,0.0
0.01,|('entry_minny', 'exit_donald')|,5000,True,15.0,1.0,1
0.01,|('exit_donald', 'entry_minny')|,100,True,2.0,1.0,1
0.01,|('exit_donald', 'entry_minny')|,500,True,1.0,1.0,1
0.01,|('exit_donald', 'entry_minny')|,500,True,2.0,1.0,8
0.01,|('exit_donald', 'entry_minny')|,1000,True,1.0,0.36736612153278814,9
0.01,|('exit_donald', 'entry_minny')|,1000,True,2.0,0.83880020442520442,24
0.01,|('exit_donald', 'entry_minny')|,1000,True,3.0,0.28125,2
0.01,|('exit_donald', 'entry_minny')|,2000,True,1.0,0.26164398898794317,17
0.01,|('exit_donald', 'entry_minny')|,2000,True,2.0,0.8002486529800098,30
0.01,|('exit_donald', 'entry_minny')|,2000,True,3.0,0.25743209963411207,6
0.01,|('exit_donald', 'entry_minny')|,3000,True,1.0,0.25287875069226168,22
0.01,|('exit_donald', 'entry_minny')|,3000,True,2.0,0.78982622589241969,30
0.01,|('exit_donald', 'entry_minny')|,3000,True,3.0,0.14837614159952994,5
0.01,|('exit_donald', 'entry_minny')|,4000,True,1.0,0.23614672861689265,27
0.01,|('exit_donald', 'entry_minny')|,4000,True,2.0,0.75972242179339189,30
0.01,|('exit_donald', 'entry_minny')|,4000,True,3.0,0.13872761225702401,6
0.01,|('exit_donald', 'entry_minny')|,5000,True,1.0,0.22883987102179337,28
0.01,|('exit_donald', 'entry_minny')|,5000,True,2.0,0.74534156133203255,30
0.01,|('exit_donald', 'entry_minny')|,5000,True,3.0,0.11202152467534662,11
0.01,|('entry_micky', 'exit_daisy')|,100,True,1.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,3.0,0.32952182952182951,2
0.01,|('entry_micky', 'exit_daisy')|,100,True,5.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,7.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,8.0,0.34788634788634792,3
0.01,|('entry_micky', 'exit_daisy')|,100,True,9.0,0.23076923076923078,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,10.0,0.23076923076923078,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,11.0,0.61191961191961197,3
0.01,|('entry_micky', 'exit_daisy')|,100,True,12.0,0.23076923076923078,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,13.0,0.53846153846153844,1
0.01,|('entry_micky', 'exit_daisy')|,100,True,15.0,0.23076923076923078,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,2.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,4.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,5.0,0.58333333333333326,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,10.0,0.41666666666666669,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,11.0,0.64059469941822889,4
0.01,|('entry_micky', 'exit_daisy')|,500,True,12.0,0.47920706744236152,3
0.01,|('entry_micky', 'exit_daisy')|,500,True,13.0,1.0,1
0.01,|('entry_micky', 'exit_daisy')|,500,True,15.0,1.0,2
0.01,|('entry_micky', 'exit_daisy')|,1000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_daisy')|,2000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_daisy')|,3000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_daisy')|,4000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_daisy')|,5000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,100,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,500,True,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,1000,True,4.0,1.0,2
0.01,|('exit_donald', 'exit_daisy')|,2000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,3000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,4000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_daisy')|,5000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,100,True,6.0,1.0,3
0.01,|('entry_micky', 'exit_goofy')|,500,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,1000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,2000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,3000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,4000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_goofy')|,5000,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_goofy')|,100,False,0.0,0.0,0.0
0.01,|('exit_donald', 'exit_goofy')|,500,True,12.0,0.375,1
0.01,|('exit_donald', 'exit_goofy')|,500,True,6.0,0.8125,2
0.01,|('exit_donald', 'exit_goofy')|,1000,True,2.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,1000,True,6.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,2000,True,8.0,0.5,1
0.01,|('exit_donald', 'exit_goofy')|,2000,True,13.0,0.66666666666666663,3
0.01,|('exit_donald', 'exit_goofy')|,2000,True,14.0,0.5,1
0.01,|('exit_donald', 'exit_goofy')|,3000,True,13.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,4000,True,12.0,0.5357142857142857,2
0.01,|('exit_donald', 'exit_goofy')|,4000,True,2.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,4000,True,4.0,0.5,1
0.01,|('exit_donald', 'exit_goofy')|,4000,True,5.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,4000,True,1.0,0.42857142857142849,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,1.0,0.22222222222222224,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,2.0,0.57407407407407407,3
0.01,|('exit_donald', 'exit_goofy')|,5000,True,4.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,5.0,0.5,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,8.0,0.33333333333333337,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,9.0,0.5,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,11.0,1.0,1
0.01,|('exit_donald', 'exit_goofy')|,5000,True,13.0,0.57407407407407407,3
0.01,|('exit_daisy', 'exit_daisy')|,100,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,500,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,1000,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,2000,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,3000,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,4000,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_daisy')|,5000,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,100,False,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,500,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,1000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,2000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,3000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,4000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'exit_donald')|,5000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,100,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,500,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,1000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,2000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,3000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,4000,True,0.0,0.0,0.0
0.01,|('exit_goofy', 'entry_micky')|,5000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,100,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,500,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,1000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,2000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,3000,True,0.0,0.0,0.0
0.01,|('exit_daisy', 'entry_minny')|,4000,True,11.0,1.0,1
0.01,|('exit_daisy', 'entry_minny')|,5000,True,13.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,100,True,10.0,0.22222222222222218,1
0.01,|('entry_micky', 'entry_minny')|,100,True,5.0,0.22222222222222218,1
0.01,|('entry_micky', 'entry_minny')|,100,True,14.0,0.22222222222222218,1
0.01,|('entry_micky', 'entry_minny')|,100,True,15.0,0.33333333333333337,1
0.01,|('entry_micky', 'entry_minny')|,500,True,8.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,500,True,7.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,500,True,12.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,500,True,6.0,1.0,2
0.01,|('entry_micky', 'entry_minny')|,500,True,15.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,1000,True,9.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,1000,True,12.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,1000,True,7.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,3.0,0.27272727272727271,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,4.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,5.0,0.5,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,6.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,7.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,11.0,0.5,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,12.0,0.36363636363636359,1
0.01,|('entry_micky', 'entry_minny')|,2000,True,14.0,0.36363636363636359,1
0.01,|('entry_micky', 'entry_minny')|,3000,True,1.0,0.33333333333333337,1
0.01,|('entry_micky', 'entry_minny')|,3000,True,2.0,0.7142857142857143,2
0.01,|('entry_micky', 'entry_minny')|,3000,True,6.0,0.41666666666666669,2
0.01,|('entry_micky', 'entry_minny')|,3000,True,11.0,0.33333333333333337,1
0.01,|('entry_micky', 'entry_minny')|,3000,True,13.0,0.5,1
0.01,|('entry_micky', 'entry_minny')|,3000,True,14.0,0.28571428571428575,1
0.01,|('entry_micky', 'entry_minny')|,3000,True,15.0,0.28571428571428575,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,1.0,0.5,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,2.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,6.0,0.29999999999999999,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,7.0,0.29999999999999999,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,9.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,11.0,0.5,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,13.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,4000,True,15.0,0.39999999999999997,1
0.01,|('entry_micky', 'entry_minny')|,5000,True,9.0,1.0,1
0.01,|('entry_micky', 'entry_minny')|,5000,True,10.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,100,True,1.0,0.41666666666666663,2
0.01,|('entry_micky', 'entry_micky')|,100,True,4.0,0.41666666666666663,2
